boro,reported,candidate,party,votes,scrape_time
Bronx,97.60%,Eliezer Rodriguez,(Democratic),177475,2024-11-07_14:06:40.42423
Bronx,97.60%,Deidra Moore,(Democratic),168928,2024-11-07_14:06:40.42423
Bronx,97.60%,Dawn Guglielmo,(Democratic),146249,2024-11-07_14:06:40.42423
Bronx,97.60%,Scott Krompinger,(Democratic),144080,2024-11-07_14:06:40.42423
Bronx,97.60%,Angel Cruz,(Democratic),168363,2024-11-07_14:06:40.42423
Bronx,97.60%,Diomarys Escano-Bell,(Democratic),140635,2024-11-07_14:06:40.42423
Bronx,97.60%,WRITE-IN,,8367,2024-11-07_14:06:40.42423
Total,,Eliezer Rodriguez,(Democratic),177475,2024-11-07_14:06:40.42423
Total,,Deidra Moore,(Democratic),168928,2024-11-07_14:06:40.42423
Total,,Dawn Guglielmo,(Democratic),146249,2024-11-07_14:06:40.42423
Total,,Scott Krompinger,(Democratic),144080,2024-11-07_14:06:40.42423
Total,,Angel Cruz,(Democratic),168363,2024-11-07_14:06:40.42423
Total,,Diomarys Escano-Bell,(Democratic),140635,2024-11-07_14:06:40.42423
Total,,WRITE-IN,,8367,2024-11-07_14:06:40.42423
